thetaH_deg,phiH_deg,Hr_Oe
7.499999999999999112e+00,-4.500000000000000000e+01,7.691632093733443980e+03
1.499999999999999822e+01,-4.500000000000000000e+01,5.903207648776998212e+03
2.250000000000000000e+01,-4.500000000000000000e+01,4.224280140977858537e+03
2.999999999999999645e+01,-4.500000000000000000e+01,3.368494567948715940e+03
3.750000000000000000e+01,-4.500000000000000000e+01,2.869585079293823583e+03
4.500000000000000000e+01,-4.500000000000000000e+01,2.535465324862353555e+03
5.250000000000000711e+01,-4.500000000000000000e+01,2.301274062223799319e+03
5.999999999999999289e+01,-4.500000000000000000e+01,2.139010242820638723e+03
6.750000000000000000e+01,-4.500000000000000000e+01,2.023580430573555304e+03
7.500000000000000000e+01,-4.500000000000000000e+01,1.947304705367350607e+03
8.250000000000000000e+01,-4.500000000000000000e+01,1.903273319291134612e+03
9.000000000000000000e+01,-4.500000000000000000e+01,1.890153673754165766e+03
9.750000000000000000e+01,-4.500000000000000000e+01,1.901743566634499757e+03
1.050000000000000142e+02,-4.500000000000000000e+01,1.946390620478053506e+03
1.125000000000000000e+02,-4.500000000000000000e+01,2.021887047155823439e+03
1.199999999999999858e+02,-4.500000000000000000e+01,2.139045699037515078e+03
1.275000000000000142e+02,-4.500000000000000000e+01,2.302427412909483337e+03
1.350000000000000000e+02,-4.500000000000000000e+01,2.533987662215694854e+03
1.425000000000000000e+02,-4.500000000000000000e+01,2.866210550635762502e+03
1.500000000000000000e+02,-4.500000000000000000e+01,3.370586497930687528e+03
1.575000000000000000e+02,-4.500000000000000000e+01,4.223635551186527664e+03
1.650000000000000000e+02,-4.500000000000000000e+01,5.901013206679392169e+03
1.725000000000000000e+02,-4.500000000000000000e+01,7.693529052978111395e+03
9.000000000000000000e+01,0.000000000000000000e+00,1.846885614337988500e+03
9.000000000000000000e+01,9.000000000000000000e+00,1.860803018421929210e+03
9.000000000000000000e+01,1.800000000000000000e+01,1.914080632764828124e+03
9.000000000000000000e+01,2.700000000000000000e+01,1.964712064961438045e+03
9.000000000000000000e+01,3.600000000000000000e+01,1.963294853396603912e+03
9.000000000000000000e+01,4.500000000000000000e+01,1.889487533775938118e+03
9.000000000000000000e+01,5.400000000000000000e+01,1.753651807505945499e+03
9.000000000000000000e+01,6.300000000000000000e+01,1.605308778385020105e+03
9.000000000000000000e+01,7.200000000000000000e+01,1.473055151757879003e+03
9.000000000000000000e+01,8.100000000000000000e+01,1.396044669961304862e+03
9.000000000000000000e+01,9.000000000000000000e+01,1.374654539232956949e+03
9.000000000000000000e+01,9.900000000000000000e+01,1.398093285967962629e+03
9.000000000000000000e+01,1.080000000000000000e+02,1.476605320028015967e+03
9.000000000000000000e+01,1.170000000000000000e+02,1.600045088131543025e+03
9.000000000000000000e+01,1.260000000000000000e+02,1.749921013302188840e+03
9.000000000000000000e+01,1.350000000000000000e+02,1.889395177269386295e+03
9.000000000000000000e+01,1.440000000000000000e+02,1.964357262395399630e+03
9.000000000000000000e+01,1.530000000000000000e+02,1.962606905037059505e+03
9.000000000000000000e+01,1.620000000000000000e+02,1.916492205933202513e+03
9.000000000000000000e+01,1.710000000000000000e+02,1.866081256020406727e+03
9.000000000000000000e+01,1.800000000000000000e+02,1.842982662461255359e+03
